A,H,Transmitted,Absorbed,Reflected
0.01,0.01,0.952,0.001,0.047
0.01,0.02,0.91,0.001,0.089
0.01,0.03,0.862,0.0,0.138
0.01,0.04,0.827,0.001,0.172
0.01,0.05,0.788,0.0,0.212
0.01,0.06,0.782,0.002,0.216
0.01,0.07,0.754,0.0,0.246
0.01,0.08,0.71,0.001,0.289
0.01,0.09,0.705,0.001,0.294
0.01,0.1,0.654,0.002,0.344
0.01,0.11,0.651,0.001,0.348
0.01,0.12,0.608,0.002,0.39
0.01,0.13,0.586,0.0,0.414
0.01,0.14,0.58,0.0,0.42
0.01,0.15,0.561,0.001,0.438
0.01,0.16,0.536,0.001,0.463
0.01,0.17,0.529,0.002,0.469
0.01,0.18,0.492,0.005,0.503
0.01,0.19,0.502,0.003,0.495
0.01,0.2,0.462,0.007,0.531
0.01,0.21,0.448,0.005,0.547
0.01,0.22,0.447,0.004,0.549
0.01,0.23,0.42,0.003,0.577
0.01,0.24,0.441,0.007,0.552
0.01,0.25,0.397,0.001,0.602
0.01,0.26,0.41,0.006,0.584
0.01,0.27,0.392,0.005,0.603
0.01,0.28,0.425,0.002,0.573
0.01,0.29,0.378,0.005,0.617
0.01,0.3,0.376,0.002,0.622
0.01,0.31,0.386,0.002,0.612
0.01,0.32,0.367,0.004,0.629
0.01,0.33,0.376,0.003,0.621
0.01,0.34,0.338,0.005,0.657
0.01,0.35,0.345,0.006,0.649
0.01,0.36,0.338,0.005,0.657
0.01,0.37,0.332,0.007,0.661
0.01,0.38,0.345,0.008,0.647
0.01,0.39,0.318,0.005,0.677
0.01,0.4,0.313,0.006,0.681
0.01,0.41,0.317,0.004,0.679
0.01,0.42,0.309,0.004,0.687
0.01,0.43,0.301,0.007,0.692
0.01,0.44,0.3,0.006,0.694
0.01,0.45,0.287,0.008,0.705
0.01,0.46,0.258,0.009,0.733
0.01,0.47,0.28,0.007,0.713
0.01,0.48,0.256,0.006,0.738
0.01,0.49,0.259,0.004,0.737
0.01,0.5,0.234,0.01,0.756
0.01,0.51,0.249,0.007,0.744
0.01,0.52,0.261,0.008,0.731
0.01,0.53,0.25,0.008,0.742
0.01,0.54,0.23,0.008,0.762
0.01,0.55,0.273,0.007,0.72
0.01,0.56,0.259,0.011,0.73
0.01,0.57,0.235,0.008,0.757
0.01,0.58,0.222,0.011,0.767
0.01,0.59,0.239,0.012,0.749
0.01,0.6,0.208,0.01,0.782
0.01,0.61,0.219,0.01,0.771
0.01,0.62,0.212,0.007,0.781
0.01,0.63,0.228,0.009,0.763
0.01,0.64,0.213,0.007,0.78
0.01,0.65,0.231,0.011,0.758
0.01,0.66,0.212,0.009,0.779
0.01,0.67,0.203,0.013,0.784
0.01,0.68,0.202,0.01,0.788
0.01,0.69,0.214,0.009,0.777
0.01,0.7,0.187,0.012,0.801
0.01,0.71,0.22,0.012,0.768
0.01,0.72,0.198,0.009,0.793
0.01,0.73,0.198,0.013,0.789
0.01,0.74,0.179,0.01,0.811
0.01,0.75,0.179,0.017,0.804
0.01,0.76,0.197,0.009,0.794
0.01,0.77,0.206,0.008,0.786
0.01,0.78,0.188,0.011,0.801
0.01,0.79,0.177,0.016,0.807
0.01,0.8,0.19,0.015,0.795
0.01,0.81,0.178,0.005,0.817
0.01,0.82,0.161,0.008,0.831
0.01,0.83,0.166,0.013,0.821
0.01,0.84,0.18,0.016,0.804
0.01,0.85,0.163,0.014,0.823
0.01,0.86,0.148,0.014,0.838
0.01,0.87,0.168,0.015,0.817
0.01,0.88,0.144,0.013,0.843
0.01,0.89,0.179,0.014,0.807
0.01,0.9,0.162,0.013,0.825
0.01,0.91,0.169,0.014,0.817
0.01,0.92,0.144,0.009,0.847
0.01,0.93,0.151,0.012,0.837
0.01,0.94,0.161,0.017,0.822
0.01,0.95,0.148,0.016,0.836
0.01,0.96,0.175,0.015,0.81
0.01,0.97,0.167,0.018,0.815
0.01,0.98,0.147,0.014,0.839
0.01,0.99,0.142,0.014,0.844
0.01,1.0,0.152,0.02,0.828
0.01,1.01,0.168,0.007,0.825
0.01,1.02,0.144,0.024,0.832
0.01,1.03,0.142,0.013,0.845
0.01,1.04,0.158,0.018,0.824
0.01,1.05,0.127,0.022,0.851
0.01,1.06,0.142,0.018,0.84
0.01,1.07,0.143,0.011,0.846
0.01,1.08,0.111,0.021,0.868
0.01,1.09,0.142,0.023,0.835
0.01,1.1,0.142,0.029,0.829
0.01,1.11,0.121,0.02,0.859
0.01,1.12,0.133,0.021,0.846
0.01,1.13,0.144,0.027,0.829
0.01,1.14,0.136,0.014,0.85
0.01,1.15,0.12,0.014,0.866
0.01,1.16,0.124,0.024,0.852
0.01,1.17,0.126,0.029,0.845
0.01,1.18,0.134,0.016,0.85
0.01,1.19,0.142,0.016,0.842
0.01,1.2,0.119,0.019,0.862
0.01,1.21,0.121,0.022,0.857
0.01,1.22,0.122,0.022,0.856
0.01,1.23,0.109,0.015,0.876
0.01,1.24,0.129,0.023,0.848
0.01,1.25,0.117,0.024,0.859
0.01,1.26,0.124,0.031,0.845
0.01,1.27,0.122,0.02,0.858
0.01,1.28,0.113,0.02,0.867
0.01,1.29,0.112,0.016,0.872
0.01,1.3,0.104,0.023,0.873
0.01,1.31,0.102,0.022,0.876
0.01,1.32,0.111,0.021,0.868
0.01,1.33,0.091,0.025,0.884
0.01,1.34,0.104,0.026,0.87
0.01,1.35,0.095,0.025,0.88
0.01,1.36,0.11,0.034,0.856
0.01,1.37,0.121,0.025,0.854
0.01,1.38,0.11,0.02,0.87
0.01,1.39,0.11,0.034,0.856
0.01,1.4,0.117,0.021,0.862
0.01,1.41,0.105,0.021,0.874
0.01,1.42,0.119,0.025,0.856
0.01,1.43,0.096,0.028,0.876
0.01,1.44,0.091,0.037,0.872
0.01,1.45,0.093,0.029,0.878
0.01,1.46,0.104,0.034,0.862
0.01,1.47,0.104,0.025,0.871
0.01,1.48,0.108,0.018,0.874
0.01,1.49,0.097,0.017,0.886
0.01,1.5,0.111,0.023,0.866
0.01,1.51,0.085,0.016,0.899
0.01,1.52,0.103,0.03,0.867
0.01,1.53,0.088,0.024,0.888
0.01,1.54,0.095,0.029,0.876
0.01,1.55,0.104,0.023,0.873
0.01,1.56,0.1,0.028,0.872
0.01,1.57,0.094,0.018,0.888
0.01,1.58,0.095,0.026,0.879
0.01,1.59,0.097,0.03,0.873
0.01,1.6,0.083,0.02,0.897
0.01,1.61,0.088,0.031,0.881
0.01,1.62,0.079,0.023,0.898
0.01,1.63,0.091,0.019,0.89
0.01,1.64,0.085,0.022,0.893
0.01,1.65,0.075,0.031,0.894
0.01,1.66,0.071,0.031,0.898
0.01,1.67,0.08,0.028,0.892
0.01,1.68,0.079,0.031,0.89
0.01,1.69,0.088,0.033,0.879
0.01,1.7,0.069,0.027,0.904
0.01,1.71,0.082,0.028,0.89
0.01,1.72,0.077,0.03,0.893
0.01,1.73,0.086,0.036,0.878
0.01,1.74,0.092,0.038,0.87
0.01,1.75,0.069,0.022,0.909
0.01,1.76,0.086,0.015,0.899
0.01,1.77,0.098,0.034,0.868
0.01,1.78,0.077,0.038,0.885
0.01,1.79,0.077,0.043,0.88
0.01,1.8,0.07,0.035,0.895
0.01,1.81,0.074,0.026,0.9
0.01,1.82,0.089,0.028,0.883
0.01,1.83,0.082,0.026,0.892
0.01,1.84,0.08,0.03,0.89
0.01,1.85,0.083,0.024,0.893
0.01,1.86,0.081,0.031,0.888
0.01,1.87,0.08,0.033,0.887
0.01,1.88,0.086,0.026,0.888
0.01,1.89,0.071,0.033,0.896
0.01,1.9,0.085,0.029,0.886
0.01,1.91,0.063,0.035,0.902
0.01,1.92,0.091,0.021,0.888
0.01,1.93,0.074,0.032,0.894
0.01,1.94,0.069,0.031,0.9
0.01,1.95,0.045,0.034,0.921
0.01,1.96,0.065,0.034,0.901
0.01,1.97,0.073,0.031,0.896
0.01,1.98,0.082,0.027,0.891
0.01,1.99,0.063,0.032,0.905
0.01,2.0,0.061,0.034,0.905
0.01,2.01,0.07,0.036,0.894
0.01,2.02,0.067,0.034,0.899
0.01,2.03,0.059,0.025,0.916
0.01,2.04,0.057,0.035,0.908
0.01,2.05,0.061,0.028,0.911
0.01,2.06,0.072,0.029,0.899
0.01,2.07,0.071,0.031,0.898
0.01,2.08,0.074,0.027,0.899
0.01,2.09,0.071,0.035,0.894
0.01,2.1,0.068,0.027,0.905
0.01,2.11,0.059,0.039,0.902
0.01,2.12,0.063,0.039,0.898
0.01,2.13,0.056,0.029,0.915
0.01,2.14,0.053,0.046,0.901
0.01,2.15,0.064,0.032,0.904
0.01,2.16,0.074,0.032,0.894
0.01,2.17,0.062,0.039,0.899
0.01,2.18,0.073,0.028,0.899
0.01,2.19,0.063,0.035,0.902
0.01,2.2,0.06,0.031,0.909
0.01,2.21,0.048,0.042,0.91
0.01,2.22,0.068,0.038,0.894
0.01,2.23,0.058,0.029,0.913
0.01,2.24,0.056,0.043,0.901
0.01,2.25,0.044,0.034,0.922
0.01,2.26,0.052,0.043,0.905
0.01,2.27,0.061,0.043,0.896
0.01,2.28,0.061,0.03,0.909
0.01,2.29,0.055,0.042,0.903
0.01,2.3,0.065,0.036,0.899
0.01,2.31,0.053,0.027,0.92
0.01,2.32,0.059,0.026,0.915
0.01,2.33,0.061,0.035,0.904
0.01,2.34,0.045,0.023,0.932
0.01,2.35,0.058,0.042,0.9
0.01,2.36,0.065,0.04,0.895
0.01,2.37,0.057,0.039,0.904
0.01,2.38,0.054,0.032,0.914
0.01,2.39,0.06,0.034,0.906
0.01,2.4,0.061,0.043,0.896
0.01,2.41,0.044,0.033,0.923
0.01,2.42,0.045,0.045,0.91
0.01,2.43,0.045,0.032,0.923
0.01,2.44,0.06,0.044,0.896
0.01,2.45,0.049,0.041,0.91
0.01,2.46,0.066,0.041,0.893
0.01,2.47,0.046,0.046,0.908
0.01,2.48,0.055,0.041,0.904
0.01,2.49,0.05,0.036,0.914
0.01,2.5,0.059,0.032,0.909
0.01,2.51,0.052,0.04,0.908
0.01,2.52,0.051,0.04,0.909
0.01,2.53,0.037,0.049,0.914
0.01,2.54,0.063,0.028,0.909
0.01,2.55,0.056,0.037,0.907
0.01,2.56,0.052,0.047,0.901
0.01,2.57,0.038,0.039,0.923
0.01,2.58,0.043,0.047,0.91
0.01,2.59,0.041,0.042,0.917
0.01,2.6,0.037,0.033,0.93
0.01,2.61,0.039,0.039,0.922
0.01,2.62,0.049,0.042,0.909
0.01,2.63,0.052,0.038,0.91
0.01,2.64,0.057,0.033,0.91
0.01,2.65,0.058,0.046,0.896
0.01,2.66,0.046,0.044,0.91
0.01,2.67,0.042,0.043,0.915
0.01,2.68,0.046,0.049,0.905
0.01,2.69,0.048,0.058,0.894
0.01,2.7,0.049,0.046,0.905
0.01,2.71,0.031,0.043,0.926
0.01,2.72,0.045,0.048,0.907
0.01,2.73,0.06,0.036,0.904
0.01,2.74,0.047,0.027,0.926
0.01,2.75,0.049,0.049,0.902
0.01,2.76,0.036,0.035,0.929
0.01,2.77,0.05,0.036,0.914
0.01,2.78,0.052,0.036,0.912
0.01,2.79,0.042,0.036,0.922
0.01,2.8,0.044,0.052,0.904
0.01,2.81,0.041,0.045,0.914
0.01,2.82,0.03,0.05,0.92
0.01,2.83,0.039,0.046,0.915
0.01,2.84,0.038,0.042,0.92
0.01,2.85,0.037,0.052,0.911
0.01,2.86,0.044,0.041,0.915
0.01,2.87,0.047,0.045,0.908
0.01,2.88,0.038,0.048,0.914
0.01,2.89,0.034,0.049,0.917
0.01,2.9,0.038,0.042,0.92
0.01,2.91,0.043,0.044,0.913
0.01,2.92,0.047,0.046,0.907
0.01,2.93,0.049,0.041,0.91
0.01,2.94,0.039,0.051,0.91
0.01,2.95,0.044,0.041,0.915
0.01,2.96,0.029,0.051,0.92
0.01,2.97,0.053,0.058,0.889
0.01,2.98,0.038,0.048,0.914
0.01,2.99,0.031,0.044,0.925
0.01,3.0,0.039,0.044,0.917
0.01,3.01,0.039,0.064,0.897
0.01,3.02,0.043,0.037,0.92
0.01,3.03,0.045,0.037,0.918
0.01,3.04,0.042,0.044,0.914
0.01,3.05,0.043,0.046,0.911
0.01,3.06,0.044,0.046,0.91
0.01,3.07,0.041,0.055,0.904
0.01,3.08,0.041,0.039,0.92
0.01,3.09,0.038,0.059,0.903
0.01,3.1,0.041,0.039,0.92
0.01,3.11,0.029,0.033,0.938
0.01,3.12,0.034,0.038,0.928
0.01,3.13,0.04,0.035,0.925
0.01,3.14,0.039,0.043,0.918
0.01,3.15,0.038,0.033,0.929
0.01,3.16,0.032,0.048,0.92
0.01,3.17,0.039,0.046,0.915
0.01,3.18,0.033,0.043,0.924
0.01,3.19,0.042,0.045,0.913
0.01,3.2,0.039,0.066,0.895
0.01,3.21,0.029,0.05,0.921
0.01,3.22,0.031,0.035,0.934
0.01,3.23,0.038,0.038,0.924
0.01,3.24,0.044,0.037,0.919
0.01,3.25,0.028,0.046,0.926
0.01,3.26,0.039,0.045,0.916
0.01,3.27,0.035,0.047,0.918
0.01,3.28,0.033,0.044,0.923
0.01,3.29,0.038,0.056,0.906
0.01,3.3,0.036,0.049,0.915
0.01,3.31,0.041,0.043,0.916
0.01,3.32,0.03,0.042,0.928
0.01,3.33,0.041,0.047,0.912
0.01,3.34,0.034,0.055,0.911
0.01,3.35,0.038,0.052,0.91
0.01,3.36,0.032,0.046,0.922
0.01,3.37,0.038,0.053,0.909
0.01,3.38,0.037,0.043,0.92
0.01,3.39,0.033,0.047,0.92
0.01,3.4,0.029,0.047,0.924
0.01,3.41,0.031,0.065,0.904
0.01,3.42,0.027,0.061,0.912
0.01,3.43,0.035,0.044,0.921
0.01,3.44,0.024,0.045,0.931
0.01,3.45,0.024,0.045,0.931
0.01,3.46,0.025,0.046,0.929
0.01,3.47,0.039,0.059,0.902
0.01,3.48,0.03,0.048,0.922
0.01,3.49,0.042,0.047,0.911
0.01,3.5,0.025,0.049,0.926
0.01,3.51,0.026,0.043,0.931
0.01,3.52,0.036,0.045,0.919
0.01,3.53,0.028,0.059,0.913
0.01,3.54,0.039,0.055,0.906
0.01,3.55,0.029,0.05,0.921
0.01,3.56,0.032,0.046,0.922
0.01,3.57,0.033,0.048,0.919
0.01,3.58,0.038,0.041,0.921
0.01,3.59,0.037,0.048,0.915
0.01,3.6,0.024,0.053,0.923
0.01,3.61,0.04,0.05,0.91
0.01,3.62,0.032,0.042,0.926
0.01,3.63,0.031,0.061,0.908
0.01,3.64,0.031,0.047,0.922
0.01,3.65,0.024,0.06,0.916
0.01,3.66,0.028,0.049,0.923
0.01,3.67,0.027,0.053,0.92
0.01,3.68,0.035,0.066,0.899
0.01,3.69,0.037,0.056,0.907
0.01,3.7,0.028,0.058,0.914
0.01,3.71,0.032,0.049,0.919
0.01,3.72,0.032,0.049,0.919
0.01,3.73,0.026,0.042,0.932
0.01,3.74,0.021,0.054,0.925
0.01,3.75,0.026,0.054,0.92
0.01,3.76,0.024,0.053,0.923
0.01,3.77,0.028,0.058,0.914
0.01,3.78,0.024,0.061,0.915
0.01,3.79,0.026,0.043,0.931
0.01,3.8,0.025,0.053,0.922
0.01,3.81,0.029,0.055,0.916
0.01,3.82,0.023,0.054,0.923
0.01,3.83,0.023,0.05,0.927
0.01,3.84,0.025,0.039,0.936
0.01,3.85,0.023,0.053,0.924
0.01,3.86,0.023,0.052,0.925
0.01,3.87,0.024,0.049,0.927
0.01,3.88,0.026,0.057,0.917
0.01,3.89,0.024,0.053,0.923
0.01,3.9,0.033,0.054,0.913
0.01,3.91,0.027,0.046,0.927
0.01,3.92,0.022,0.058,0.92
0.01,3.93,0.03,0.056,0.914
0.01,3.94,0.014,0.058,0.928
0.01,3.95,0.031,0.061,0.908
0.01,3.96,0.029,0.042,0.929
0.01,3.97,0.019,0.059,0.922
0.01,3.98,0.03,0.058,0.912
0.01,3.99,0.022,0.043,0.935
0.01,4.0,0.029,0.054,0.917
0.01,4.01,0.028,0.057,0.915
0.01,4.02,0.023,0.04,0.937
0.01,4.03,0.021,0.053,0.926
0.01,4.04,0.017,0.055,0.928
0.01,4.05,0.034,0.048,0.918
0.01,4.06,0.025,0.066,0.909
0.01,4.07,0.029,0.042,0.929
0.01,4.08,0.03,0.063,0.907
0.01,4.09,0.015,0.064,0.921
0.01,4.1,0.028,0.061,0.911
0.01,4.11,0.024,0.052,0.924
0.01,4.12,0.026,0.049,0.925
0.01,4.13,0.018,0.063,0.919
0.01,4.14,0.032,0.056,0.912
0.01,4.15,0.031,0.074,0.895
0.01,4.16,0.029,0.06,0.911
0.01,4.17,0.025,0.052,0.923
0.01,4.18,0.022,0.046,0.932
0.01,4.19,0.023,0.062,0.915
0.01,4.2,0.02,0.051,0.929
0.01,4.21,0.028,0.065,0.907
0.01,4.22,0.025,0.066,0.909
0.01,4.23,0.031,0.05,0.919
0.01,4.24,0.021,0.062,0.917
0.01,4.25,0.018,0.067,0.915
0.01,4.26,0.015,0.049,0.936
0.01,4.27,0.017,0.065,0.918
0.01,4.28,0.017,0.07,0.913
0.01,4.29,0.022,0.058,0.92
0.01,4.3,0.027,0.062,0.911
0.01,4.31,0.024,0.051,0.925
0.01,4.32,0.024,0.065,0.911
0.01,4.33,0.026,0.045,0.929
0.01,4.34,0.013,0.068,0.919
0.01,4.35,0.033,0.052,0.915
0.01,4.36,0.021,0.059,0.92
0.01,4.37,0.021,0.048,0.931
0.01,4.38,0.016,0.05,0.934
0.01,4.39,0.018,0.057,0.925
0.01,4.4,0.02,0.057,0.923
0.01,4.41,0.024,0.056,0.92
0.01,4.42,0.021,0.061,0.918
0.01,4.43,0.028,0.06,0.912
0.01,4.44,0.02,0.077,0.903
0.01,4.45,0.017,0.058,0.925
0.01,4.46,0.017,0.067,0.916
0.01,4.47,0.015,0.06,0.925
0.01,4.48,0.016,0.064,0.92
0.01,4.49,0.011,0.055,0.934
0.01,4.5,0.019,0.056,0.925
0.01,4.51,0.017,0.055,0.928
0.01,4.52,0.018,0.056,0.926
0.01,4.53,0.022,0.058,0.92
0.01,4.54,0.02,0.049,0.931
0.01,4.55,0.019,0.064,0.917
0.01,4.56,0.012,0.048,0.94
0.01,4.57,0.018,0.059,0.923
0.01,4.58,0.017,0.064,0.919
0.01,4.59,0.012,0.05,0.938
0.01,4.6,0.023,0.056,0.921
0.01,4.61,0.02,0.057,0.923
0.01,4.62,0.019,0.054,0.927
0.01,4.63,0.023,0.058,0.919
0.01,4.64,0.026,0.051,0.923
0.01,4.65,0.017,0.061,0.922
0.01,4.66,0.018,0.054,0.928
0.01,4.67,0.022,0.063,0.915
0.01,4.68,0.016,0.071,0.913
0.01,4.69,0.02,0.072,0.908
0.01,4.7,0.028,0.045,0.927
0.01,4.71,0.017,0.071,0.912
0.01,4.72,0.02,0.069,0.911
0.01,4.73,0.018,0.059,0.923
0.01,4.74,0.014,0.066,0.92
0.01,4.75,0.018,0.053,0.929
0.01,4.76,0.016,0.062,0.922
0.01,4.77,0.018,0.06,0.922
0.01,4.78,0.015,0.06,0.925
0.01,4.79,0.012,0.057,0.931
0.01,4.8,0.02,0.067,0.913
0.01,4.81,0.018,0.058,0.924
0.01,4.82,0.014,0.065,0.921
0.01,4.83,0.012,0.063,0.925
0.01,4.84,0.024,0.048,0.928
0.01,4.85,0.012,0.059,0.929
0.01,4.86,0.018,0.057,0.925
0.01,4.87,0.017,0.058,0.925
0.01,4.88,0.016,0.065,0.919
0.01,4.89,0.017,0.059,0.924
0.01,4.9,0.015,0.056,0.929
0.01,4.91,0.022,0.061,0.917
0.01,4.92,0.025,0.049,0.926
0.01,4.93,0.021,0.079,0.9
0.01,4.94,0.014,0.063,0.923
0.01,4.95,0.013,0.073,0.914
0.01,4.96,0.019,0.059,0.922
0.01,4.97,0.013,0.048,0.939
0.01,4.98,0.012,0.061,0.927
0.01,4.99,0.015,0.071,0.914
0.01,5.0,0.014,0.079,0.907
0.01,5.01,0.01,0.065,0.925
0.01,5.02,0.01,0.054,0.936
0.01,5.03,0.019,0.06,0.921
0.01,5.04,0.012,0.064,0.924
0.01,5.05,0.013,0.064,0.923
0.01,5.06,0.007,0.059,0.934
0.01,5.07,0.013,0.066,0.921
0.01,5.08,0.015,0.064,0.921
0.01,5.09,0.015,0.068,0.917
0.01,5.1,0.017,0.061,0.922
0.01,5.11,0.023,0.044,0.933
0.01,5.12,0.014,0.043,0.943
0.01,5.13,0.016,0.065,0.919
0.01,5.14,0.015,0.056,0.929
0.01,5.15,0.017,0.054,0.929
0.01,5.16,0.016,0.07,0.914
0.01,5.17,0.018,0.072,0.91
0.01,5.18,0.019,0.069,0.912
0.01,5.19,0.017,0.048,0.935
0.01,5.2,0.014,0.057,0.929
0.01,5.21,0.004,0.049,0.947
0.01,5.22,0.008,0.065,0.927
0.01,5.23,0.01,0.056,0.934
0.01,5.24,0.012,0.068,0.92
0.01,5.25,0.012,0.067,0.921
0.01,5.26,0.011,0.067,0.922
0.01,5.27,0.014,0.051,0.935
0.01,5.28,0.013,0.074,0.913
0.01,5.29,0.012,0.055,0.933
0.01,5.3,0.011,0.058,0.931
0.01,5.31,0.01,0.069,0.921
0.01,5.32,0.014,0.057,0.929
0.01,5.33,0.013,0.058,0.929
0.01,5.34,0.013,0.043,0.944
0.01,5.35,0.012,0.057,0.931
0.01,5.36,0.018,0.055,0.927
0.01,5.37,0.017,0.074,0.909
0.01,5.38,0.01,0.061,0.929
0.01,5.39,0.007,0.073,0.92
0.01,5.4,0.011,0.067,0.922
0.01,5.41,0.006,0.047,0.947
0.01,5.42,0.012,0.063,0.925
0.01,5.43,0.014,0.053,0.933
0.01,5.44,0.014,0.056,0.93
0.01,5.45,0.013,0.075,0.912
0.01,5.46,0.006,0.063,0.931
0.01,5.47,0.011,0.052,0.937
0.01,5.48,0.009,0.063,0.928
0.01,5.49,0.02,0.055,0.925
0.01,5.5,0.018,0.068,0.914
0.01,5.51,0.006,0.065,0.929
0.01,5.52,0.006,0.074,0.92
0.01,5.53,0.014,0.066,0.92
0.01,5.54,0.016,0.064,0.92
0.01,5.55,0.013,0.061,0.926
0.01,5.56,0.019,0.064,0.917
0.01,5.57,0.013,0.072,0.915
0.01,5.58,0.015,0.053,0.932
0.01,5.59,0.012,0.059,0.929
0.01,5.6,0.01,0.09,0.9
0.01,5.61,0.005,0.07,0.925
0.01,5.62,0.006,0.063,0.931
0.01,5.63,0.014,0.072,0.914
0.01,5.64,0.014,0.062,0.924
0.01,5.65,0.011,0.067,0.922
0.01,5.66,0.015,0.072,0.913
0.01,5.67,0.01,0.068,0.922
0.01,5.68,0.011,0.052,0.937
0.01,5.69,0.013,0.064,0.923
0.01,5.7,0.012,0.066,0.922
0.01,5.71,0.011,0.062,0.927
0.01,5.72,0.018,0.07,0.912
0.01,5.73,0.007,0.056,0.937
0.01,5.74,0.011,0.067,0.922
0.01,5.75,0.01,0.072,0.918
0.01,5.76,0.007,0.064,0.929
0.01,5.77,0.018,0.063,0.919
0.01,5.78,0.013,0.062,0.925
0.01,5.79,0.011,0.068,0.921
0.01,5.8,0.009,0.062,0.929
0.01,5.81,0.014,0.061,0.925
0.01,5.82,0.011,0.056,0.933
0.01,5.83,0.01,0.055,0.935
0.01,5.84,0.011,0.06,0.929
0.01,5.85,0.004,0.054,0.942
0.01,5.86,0.008,0.07,0.922
0.01,5.87,0.006,0.063,0.931
0.01,5.88,0.012,0.07,0.918
0.01,5.89,0.01,0.057,0.933
0.01,5.9,0.011,0.069,0.92
0.01,5.91,0.008,0.072,0.92
0.01,5.92,0.011,0.07,0.919
0.01,5.93,0.009,0.073,0.918
0.01,5.94,0.006,0.075,0.919
0.01,5.95,0.011,0.06,0.929
0.01,5.96,0.009,0.066,0.925
0.01,5.97,0.008,0.072,0.92
0.01,5.98,0.006,0.062,0.932
0.01,5.99,0.011,0.063,0.926
0.01,6.0,0.008,0.057,0.935
0.01,6.01,0.005,0.068,0.927
0.01,6.02,0.006,0.067,0.927
0.01,6.03,0.01,0.067,0.923
0.01,6.04,0.01,0.067,0.923
0.01,6.05,0.007,0.063,0.93
0.01,6.06,0.009,0.061,0.93
0.01,6.07,0.004,0.077,0.919
0.01,6.08,0.01,0.061,0.929
0.01,6.09,0.01,0.053,0.937
0.01,6.1,0.014,0.058,0.928
0.01,6.11,0.008,0.059,0.933
0.01,6.12,0.006,0.063,0.931
0.01,6.13,0.007,0.064,0.929
0.01,6.14,0.008,0.076,0.916
0.01,6.15,0.006,0.068,0.926
0.01,6.16,0.012,0.068,0.92
0.01,6.17,0.008,0.065,0.927
0.01,6.18,0.008,0.078,0.914
0.01,6.19,0.005,0.06,0.935
0.01,6.2,0.013,0.065,0.922
0.01,6.21,0.005,0.075,0.92
0.01,6.22,0.003,0.06,0.937
0.01,6.23,0.009,0.062,0.929
0.01,6.24,0.011,0.061,0.928
0.01,6.25,0.005,0.066,0.929
0.01,6.26,0.005,0.067,0.928
0.01,6.27,0.009,0.075,0.916
0.01,6.28,0.009,0.063,0.928
0.01,6.29,0.008,0.059,0.933
0.01,6.3,0.008,0.058,0.934
0.01,6.31,0.007,0.065,0.928
0.01,6.32,0.008,0.074,0.918
0.01,6.33,0.008,0.059,0.933
0.01,6.34,0.007,0.075,0.918
0.01,6.35,0.007,0.079,0.914
0.01,6.36,0.011,0.058,0.931
0.01,6.37,0.009,0.08,0.911
0.01,6.38,0.004,0.069,0.927
0.01,6.39,0.009,0.051,0.94
0.01,6.4,0.012,0.06,0.928
0.01,6.41,0.009,0.047,0.944
0.01,6.42,0.008,0.056,0.936
0.01,6.43,0.009,0.062,0.929
0.01,6.44,0.008,0.083,0.909
0.01,6.45,0.008,0.065,0.927
0.01,6.46,0.004,0.062,0.934
0.01,6.47,0.008,0.069,0.923
0.01,6.48,0.008,0.061,0.931
0.01,6.49,0.006,0.069,0.925
0.01,6.5,0.01,0.078,0.912
0.01,6.51,0.008,0.067,0.925
0.01,6.52,0.009,0.097,0.894
0.01,6.53,0.004,0.063,0.933
0.01,6.54,0.008,0.074,0.918
0.01,6.55,0.007,0.065,0.928
0.01,6.56,0.007,0.059,0.934
0.01,6.57,0.005,0.076,0.919
0.01,6.58,0.004,0.07,0.926
0.01,6.59,0.007,0.08,0.913
0.01,6.6,0.006,0.068,0.926
0.01,6.61,0.006,0.057,0.937
0.01,6.62,0.009,0.049,0.942
0.01,6.63,0.008,0.053,0.939
0.01,6.64,0.008,0.074,0.918
0.01,6.65,0.007,0.064,0.929
0.01,6.66,0.007,0.071,0.922
0.01,6.67,0.01,0.082,0.908
0.01,6.68,0.009,0.058,0.933
0.01,6.69,0.008,0.084,0.908
0.01,6.7,0.007,0.06,0.933
0.01,6.71,0.011,0.073,0.916
0.01,6.72,0.007,0.061,0.932
0.01,6.73,0.01,0.079,0.911
0.01,6.74,0.008,0.063,0.929
0.01,6.75,0.007,0.068,0.925
0.01,6.76,0.01,0.073,0.917
0.01,6.77,0.012,0.059,0.929
0.01,6.78,0.011,0.059,0.93
0.01,6.79,0.01,0.056,0.934
0.01,6.8,0.005,0.076,0.919
0.01,6.81,0.009,0.066,0.925
0.01,6.82,0.006,0.086,0.908
0.01,6.83,0.007,0.066,0.927
0.01,6.84,0.01,0.062,0.928
0.01,6.85,0.006,0.067,0.927
0.01,6.86,0.007,0.058,0.935
0.01,6.87,0.001,0.065,0.934
0.01,6.88,0.004,0.075,0.921
0.01,6.89,0.005,0.075,0.92
0.01,6.9,0.002,0.082,0.916
0.01,6.91,0.005,0.07,0.925
0.01,6.92,0.005,0.061,0.934
0.01,6.93,0.007,0.071,0.922
0.01,6.94,0.008,0.065,0.927
0.01,6.95,0.004,0.078,0.918
0.01,6.96,0.007,0.066,0.927
0.01,6.97,0.002,0.059,0.939
0.01,6.98,0.004,0.056,0.94
